place of work : 2011 super output area - middle layer,Place of Work: MSOA11CD,Usual Residence: England and Wales
Camden 001,E02000166,2121
Camden 002,E02000167,2669
Camden 003,E02000168,4443
Camden 004,E02000169,1182
Camden 005,E02000170,1313
Camden 006,E02000171,1342
Camden 007,E02000172,4138
Camden 008,E02000173,9903
Camden 009,E02000174,2134
Camden 010,E02000175,3034
Camden 011,E02000176,1212
Camden 012,E02000177,1606
Camden 013,E02000178,1349
Camden 014,E02000179,798
Camden 015,E02000180,1376
Camden 016,E02000181,479
Camden 017,E02000182,2923
Camden 018,E02000183,6048
Camden 019,E02000184,9126
Camden 020,E02000185,1825
Camden 021,E02000186,23396
Camden 022,E02000187,7324
Camden 023,E02000188,7393
Camden 024,E02000189,4763
Camden 025,E02000190,9567
Camden 026,E02000191,40394
Camden 027,E02000192,30351
Camden 028,E02000193,68113
City of London 001,E02000001,356527
Hackney 001,E02000345,2513
Hackney 002,E02000346,790
Hackney 003,E02000347,1246
Hackney 004,E02000348,833
Hackney 006,E02000350,1029
Hackney 007,E02000351,516
Hackney 008,E02000352,667
Hackney 009,E02000353,1723
Hackney 010,E02000354,1281
Hackney 011,E02000355,907
Hackney 012,E02000356,924
Hackney 013,E02000357,554
Hackney 014,E02000358,2041
Hackney 015,E02000359,511
Hackney 016,E02000360,1162
Hackney 017,E02000361,5454
Hackney 018,E02000362,2076
Hackney 019,E02000363,4118
Hackney 020,E02000364,1794
Hackney 021,E02000365,3471
Hackney 022,E02000366,695
Hackney 023,E02000367,3561
Hackney 024,E02000368,711
Hackney 025,E02000369,3177
Hackney 026,E02000370,3320
Hackney 027,E02000371,33108
Hackney 028,E02006918,728
Hackney 029,E02006921,521
Hammersmith and Fulham 001,E02000372,16466
Hammersmith and Fulham 002,E02000373,745
Hammersmith and Fulham 003,E02000374,317
Hammersmith and Fulham 004,E02000375,13757
Hammersmith and Fulham 005,E02000376,2577
Hammersmith and Fulham 006,E02000377,1115
Hammersmith and Fulham 007,E02000378,2411
Hammersmith and Fulham 008,E02000379,701
Hammersmith and Fulham 009,E02000380,1287
Hammersmith and Fulham 010,E02000381,3549
Hammersmith and Fulham 011,E02000382,3170
Hammersmith and Fulham 012,E02000383,6456
Hammersmith and Fulham 013,E02000384,19993
Hammersmith and Fulham 014,E02000385,1052
Hammersmith and Fulham 015,E02000386,3787
Hammersmith and Fulham 016,E02000387,4517
Hammersmith and Fulham 017,E02000388,2778
Hammersmith and Fulham 018,E02000389,2861
Hammersmith and Fulham 019,E02000390,1385
Hammersmith and Fulham 020,E02000391,3679
Hammersmith and Fulham 021,E02000392,3642
Hammersmith and Fulham 022,E02000393,583
Hammersmith and Fulham 023,E02000394,3915
Hammersmith and Fulham 024,E02000395,3257
Hammersmith and Fulham 025,E02000396,2404
Haringey 001,E02000397,768
Haringey 002,E02000398,2530
Haringey 004,E02000400,1438
Haringey 005,E02000401,548
Haringey 006,E02000402,599
Haringey 007,E02000403,4842
Haringey 008,E02000404,781
Haringey 009,E02000405,777
Haringey 010,E02000406,350
Haringey 011,E02000407,1294
Haringey 012,E02000408,1448
Haringey 013,E02000409,1064
Haringey 014,E02000410,1076
Haringey 015,E02000411,2941
Haringey 016,E02000412,5136
Haringey 017,E02000413,797
Haringey 018,E02000414,482
Haringey 019,E02000415,981
Haringey 020,E02000416,1276
Haringey 021,E02000417,1819
Haringey 022,E02000418,748
Haringey 023,E02000419,1522
Haringey 024,E02000420,792
Haringey 025,E02000421,3110
Haringey 026,E02000422,813
Haringey 027,E02000423,2012
Haringey 028,E02000424,1033
Haringey 029,E02000425,682
Haringey 030,E02000426,1835
Haringey 031,E02000427,851
Haringey 032,E02000428,1416
Haringey 033,E02000429,701
Haringey 034,E02000430,2046
Haringey 035,E02000431,895
Haringey 036,E02000432,485
Haringey 037,E02006794,2546
Islington 001,E02000554,958
Islington 002,E02000555,1359
Islington 003,E02000556,1867
Islington 004,E02000557,5382
Islington 005,E02000558,1779
Islington 006,E02000559,9714
Islington 007,E02000560,3089
Islington 008,E02000561,845
Islington 009,E02000562,1212
Islington 010,E02000563,1670
Islington 011,E02000564,3288
Islington 012,E02000565,1026
Islington 013,E02000566,4059
Islington 014,E02000567,1050
Islington 015,E02000568,5768
Islington 016,E02000569,3254
Islington 017,E02000570,1507
Islington 018,E02000571,1793
Islington 019,E02000572,2489
Islington 020,E02000573,10483
Islington 021,E02000574,13793
Islington 022,E02000575,36998
Islington 023,E02000576,35503
Kensington and Chelsea 001,E02000577,3962
Kensington and Chelsea 002,E02000578,2408
Kensington and Chelsea 003,E02000579,1926
Kensington and Chelsea 004,E02000580,2861
Kensington and Chelsea 005,E02000581,3157
Kensington and Chelsea 006,E02000582,3183
Kensington and Chelsea 007,E02000583,2000
Kensington and Chelsea 008,E02000584,7038
Kensington and Chelsea 009,E02000585,2045
Kensington and Chelsea 010,E02000586,9006
Kensington and Chelsea 011,E02000587,3578
Kensington and Chelsea 012,E02000588,17595
Kensington and Chelsea 013,E02000589,3567
Kensington and Chelsea 014,E02000590,5498
Kensington and Chelsea 015,E02000591,1494
Kensington and Chelsea 016,E02000592,7300
Kensington and Chelsea 017,E02000593,1285
Kensington and Chelsea 018,E02000594,4509
Kensington and Chelsea 019,E02000595,7454
Kensington and Chelsea 020,E02000596,5469
Kensington and Chelsea 021,E02000597,2489
Lambeth 002,E02000619,2294
Lambeth 003,E02000620,7640
Lambeth 004,E02000621,6779
Lambeth 005,E02000622,2557
Lambeth 006,E02000623,550
Lambeth 007,E02000624,719
Lambeth 008,E02000625,1879
Lambeth 009,E02000626,928
Lambeth 010,E02000627,1446
Lambeth 011,E02000628,4361
Lambeth 012,E02000629,1954
Lambeth 013,E02000630,2769
Lambeth 014,E02000631,9638
Lambeth 015,E02000632,1281
Lambeth 016,E02000633,3477
Lambeth 017,E02000634,2228
Lambeth 018,E02000635,1243
Lambeth 019,E02000636,1677
Lambeth 020,E02000637,912
Lambeth 021,E02000638,1789
Lambeth 022,E02000639,342
Lambeth 023,E02000640,1050
Lambeth 024,E02000641,686
Lambeth 025,E02000642,999
Lambeth 026,E02000643,933
Lambeth 027,E02000644,747
Lambeth 028,E02000645,2632
Lambeth 029,E02000646,2098
Lambeth 030,E02000647,634
Lambeth 031,E02000648,808
Lambeth 032,E02000649,2125
Lambeth 033,E02000650,775
Lambeth 034,E02000651,763
Lambeth 035,E02000652,389
Lambeth 036,E02006801,36653
Lewisham 001,E02000653,797
Lewisham 002,E02000654,1680
Lewisham 003,E02000655,2039
Lewisham 005,E02000657,2595
Lewisham 006,E02000658,974
Lewisham 007,E02000659,2483
Lewisham 008,E02000660,1188
Lewisham 009,E02000661,2091
Lewisham 010,E02000662,1095
Lewisham 011,E02000663,499
Lewisham 012,E02000664,8029
Lewisham 013,E02000665,1034
Lewisham 014,E02000666,608
Lewisham 015,E02000667,572
Lewisham 016,E02000668,1286
Lewisham 017,E02000669,1175
Lewisham 018,E02000670,796
Lewisham 019,E02000671,2160
Lewisham 020,E02000672,5488
Lewisham 021,E02000673,1230
Lewisham 022,E02000674,541
Lewisham 023,E02000675,813
Lewisham 024,E02000676,452
Lewisham 025,E02000677,1729
Lewisham 026,E02000678,340
Lewisham 027,E02000679,915
Lewisham 028,E02000680,924
Lewisham 029,E02000681,1293
Lewisham 030,E02000682,955
Lewisham 031,E02000683,504
Lewisham 033,E02000685,780
Lewisham 034,E02000686,1213
Lewisham 035,E02000687,1149
Lewisham 037,E02006783,888
Lewisham 038,E02006784,709
Lewisham 039,E02006798,2430
Newham 001,E02000714,716
Newham 002,E02000715,690
Newham 003,E02000716,572
Newham 004,E02000717,1118
Newham 005,E02000718,606
Newham 006,E02000719,830
Newham 007,E02000720,689
Newham 008,E02000721,2361
Newham 009,E02000722,1377
Newham 010,E02000723,1626
Newham 011,E02000724,565
Newham 012,E02000725,7878
Newham 013,E02000726,6083
Newham 014,E02000727,1101
Newham 015,E02000728,316
Newham 016,E02000729,374
Newham 017,E02000730,1573
Newham 018,E02000731,3092
Newham 019,E02000732,1231
Newham 020,E02000733,1444
Newham 021,E02000734,398
Newham 022,E02000735,1261
Newham 023,E02000736,1357
Newham 024,E02000737,2114
Newham 025,E02000738,598
Newham 026,E02000739,1009
Newham 027,E02000740,1959
Newham 028,E02000741,4838
Newham 029,E02000742,564
Newham 030,E02000743,1962
Newham 031,E02000744,812
Newham 032,E02000745,256
Newham 033,E02000746,6741
Newham 034,E02000747,4751
Newham 035,E02000748,4275
Newham 036,E02000749,1776
Newham 037,E02000750,5066
Southwark 001,E02000807,989
Southwark 002,E02000808,55022
Southwark 003,E02000809,33947
Southwark 004,E02000810,2020
Southwark 006,E02000812,5877
Southwark 007,E02000813,2233
Southwark 008,E02000814,1465
Southwark 009,E02000815,3151
Southwark 010,E02000816,2187
Southwark 011,E02000817,1756
Southwark 012,E02000818,1730
Southwark 013,E02000819,1666
Southwark 014,E02000820,1999
Southwark 015,E02000821,1650
Southwark 016,E02000822,960
Southwark 017,E02000823,1340
Southwark 018,E02000824,2801
Southwark 019,E02000825,898
Southwark 020,E02000826,1543
Southwark 021,E02000827,3127
Southwark 022,E02000828,2126
Southwark 023,E02000829,866
Southwark 024,E02000830,4215
Southwark 025,E02000831,1897
Southwark 026,E02000832,976
Southwark 027,E02000833,850
Southwark 028,E02000834,1432
Southwark 029,E02000835,436
Southwark 030,E02000836,1636
Southwark 031,E02000837,1660
Southwark 032,E02000838,644
Southwark 033,E02000839,1620
Southwark 034,E02006802,12728
Tower Hamlets 001,E02000864,1988
Tower Hamlets 002,E02000865,2411
Tower Hamlets 003,E02000866,1277
Tower Hamlets 004,E02000867,2757
Tower Hamlets 005,E02000868,1862
Tower Hamlets 006,E02000869,1276
Tower Hamlets 007,E02000870,1907
Tower Hamlets 008,E02000871,1751
Tower Hamlets 009,E02000872,1910
Tower Hamlets 010,E02000873,4928
Tower Hamlets 011,E02000874,838
Tower Hamlets 012,E02000875,2371
Tower Hamlets 013,E02000876,2765
Tower Hamlets 014,E02000877,2117
Tower Hamlets 015,E02000878,22769
Tower Hamlets 016,E02000879,1079
Tower Hamlets 017,E02000880,3299
Tower Hamlets 018,E02000881,1052
Tower Hamlets 019,E02000882,1414
Tower Hamlets 020,E02000883,1233
Tower Hamlets 021,E02000884,14112
Tower Hamlets 022,E02000885,1611
Tower Hamlets 023,E02000886,1054
Tower Hamlets 024,E02000887,2526
Tower Hamlets 025,E02000888,1195
Tower Hamlets 026,E02000889,7431
Tower Hamlets 027,E02000890,6451
Tower Hamlets 028,E02000891,13553
Tower Hamlets 030,E02000893,664
Tower Hamlets 031,E02000894,521
Tower Hamlets 032,E02006853,2281
Tower Hamlets 033,E02006854,103552
Wandsworth 001,E02000923,3262
Wandsworth 002,E02000924,10060
Wandsworth 003,E02000925,930
Wandsworth 004,E02000926,3458
Wandsworth 005,E02000927,1232
Wandsworth 006,E02000928,1496
Wandsworth 007,E02000929,382
Wandsworth 008,E02000930,3812
Wandsworth 009,E02000931,812
Wandsworth 010,E02000932,9355
Wandsworth 011,E02000933,2014
Wandsworth 012,E02000934,5394
Wandsworth 013,E02000935,2575
Wandsworth 014,E02000936,1431
Wandsworth 015,E02000937,1147
Wandsworth 016,E02000938,1344
Wandsworth 017,E02000939,1004
Wandsworth 018,E02000940,3848
Wandsworth 019,E02000941,1482
Wandsworth 020,E02000942,1019
Wandsworth 021,E02000943,2677
Wandsworth 022,E02000944,968
Wandsworth 023,E02000945,1274
Wandsworth 024,E02000946,2200
Wandsworth 025,E02000947,1751
Wandsworth 026,E02000948,588
Wandsworth 027,E02000949,4074
Wandsworth 028,E02000950,720
Wandsworth 029,E02000951,868
Wandsworth 030,E02000952,664
Wandsworth 031,E02000953,1470
Wandsworth 032,E02000954,766
Wandsworth 033,E02000955,727
Wandsworth 034,E02000956,9210
Wandsworth 035,E02000957,2642
Wandsworth 036,E02000958,640
Wandsworth 037,E02000959,523
Westminster 001,E02000960,3437
Westminster 002,E02000961,1292
Westminster 003,E02000962,2243
Westminster 004,E02000963,823
Westminster 005,E02000964,1264
Westminster 006,E02000965,1326
Westminster 007,E02000966,1426
Westminster 008,E02000967,13612
Westminster 009,E02000968,4932
Westminster 010,E02000969,2862
Westminster 011,E02000970,48716
Westminster 012,E02000971,14766
Westminster 013,E02000972,129950
Westminster 014,E02000973,2560
Westminster 015,E02000974,16271
Westminster 016,E02000975,10670
Westminster 017,E02000976,4974
Westminster 018,E02000977,153992
Westminster 019,E02000978,23486
Westminster 020,E02000979,86513
Westminster 021,E02000980,10189
Westminster 022,E02000981,3470
Westminster 023,E02000982,18733
Westminster 024,E02000983,1411
Barking and Dagenham 001,E02000002,624
Barking and Dagenham 002,E02000003,2802
Barking and Dagenham 003,E02000004,1015
Barking and Dagenham 004,E02000005,868
Barking and Dagenham 006,E02000007,3063
Barking and Dagenham 007,E02000008,1509
Barking and Dagenham 008,E02000009,465
Barking and Dagenham 009,E02000010,877
Barking and Dagenham 010,E02000011,2230
Barking and Dagenham 011,E02000012,998
Barking and Dagenham 012,E02000013,658
Barking and Dagenham 013,E02000014,1099
Barking and Dagenham 014,E02000015,785
Barking and Dagenham 015,E02000016,6475
Barking and Dagenham 016,E02000017,877
Barking and Dagenham 017,E02000018,518
Barking and Dagenham 018,E02000019,3605
Barking and Dagenham 019,E02000020,4237
Barking and Dagenham 020,E02000021,5404
Barking and Dagenham 021,E02000022,1733
Barking and Dagenham 022,E02000023,2141
Barking and Dagenham 023,E02006799,1656
Barnet 001,E02000024,4439
Barnet 002,E02000025,1008
Barnet 003,E02000026,469
Barnet 004,E02000027,3282
Barnet 005,E02000028,1544
Barnet 006,E02000029,1821
Barnet 007,E02000030,1435
Barnet 008,E02000031,3164
Barnet 009,E02000032,635
Barnet 010,E02000033,3084
Barnet 011,E02000034,1118
Barnet 012,E02000035,1572
Barnet 013,E02000036,876
Barnet 014,E02000037,956
Barnet 015,E02000038,1564
Barnet 016,E02000039,2015
Barnet 017,E02000040,3328
Barnet 018,E02000041,3507
Barnet 019,E02000042,3752
Barnet 020,E02000043,331
Barnet 021,E02000044,885
Barnet 022,E02000045,1382
Barnet 023,E02000046,2215
Barnet 024,E02000047,2205
Barnet 025,E02000048,1089
Barnet 026,E02000049,1963
Barnet 027,E02000050,2042
Barnet 028,E02000051,3779
Barnet 029,E02000052,2243
Barnet 030,E02000053,5361
Barnet 031,E02000054,1438
Barnet 032,E02000055,4457
Barnet 033,E02000056,1500
Barnet 034,E02000057,1188
Barnet 035,E02000058,2325
Barnet 036,E02000059,2771
Barnet 037,E02000060,1603
Barnet 038,E02000061,2620
Barnet 039,E02000062,6941
Barnet 040,E02000063,536
Barnet 041,E02000064,731
Bexley 001,E02000065,2174
Bexley 002,E02000066,907
Bexley 003,E02000067,2542
Bexley 004,E02000068,4395
Bexley 005,E02000069,776
Bexley 006,E02000070,305
Bexley 007,E02000071,1400
Bexley 008,E02000072,2753
Bexley 009,E02000073,635
Bexley 010,E02000074,997
Bexley 011,E02000075,623
Bexley 013,E02000077,711
Bexley 014,E02000078,484
Bexley 015,E02000079,7559
Bexley 016,E02000080,2411
Bexley 017,E02000081,1913
Bexley 018,E02000082,1110
Bexley 019,E02000083,5174
Bexley 020,E02000084,1028
Bexley 021,E02000085,944
Bexley 022,E02000086,807
Bexley 023,E02000087,1391
Bexley 024,E02000088,391
