UK SOC 2010 Code,Census Categories: Occupation,Occupation title,Exposure,Interaction,Location,Physical Activities,Tools/ Protective Equipment,Ability to homework score,Median hourly pay (£),Total in employment,Percentage of the workforce that are female(%),Percentage of the workforce that are aged 55+ (%),Percentage of the workforce that are BAME (%),% Working from home during Lockdown
5431,Food Preparation and Hospitality Trades,Butchers,0.41,0.35,0.12,0.53,0.79,2.19,10.1,34000,9.9,13.7,9.1,18.85
5432,Food Preparation and Hospitality Trades,Bakers and flour confectioners,0.31,0.26,0.1,0.5,0.49,1.66,9.76,33000,57.4,13.2,11.2,18.85
5433,Food Preparation and Hospitality Trades,Fishmongers and poultry dressers,0.41,0.35,0.12,0.53,0.79,2.19,9.03,10000,31.2,20.6,x,18.85
5434,Food Preparation and Hospitality Trades,Chefs,0.5,0.61,0.21,0.58,0.59,2.48,9.69,253000,21.8,10.7,19.4,18.85
5435,Food Preparation and Hospitality Trades,Cooks,0.34,0.44,0.13,0.57,0.56,2.04,8.89,69000,73,23.7,17.3,18.85
5436,Food Preparation and Hospitality Trades,Catering and bar managers,0.3,0.62,0.17,0.6,0.5,2.2,10.12,71000,62.9,16.7,8.4,18.85
5441,Other Skilled Trades,"Glass and ceramics makers, decorators and finishers",0.53,0.21,0.27,0.53,0.8,2.33,11.58,11000,61,14.2,x,18.85
5442,Other Skilled Trades,Furniture makers and other craft woodworkers,0.56,0.18,0.17,0.59,0.77,2.28,10.53,38000,10.8,20,3.6,18.85
5443,Other Skilled Trades,Florists,0.31,0.35,0.15,0.45,0.41,1.68,8.52,12000,x,11.9,x,18.85
5449,Other Skilled Trades,Other skilled trades n.e.c.,0.38,0.21,0.07,0.38,0.64,1.68,13,41000,27.9,24.9,7.2,18.85
6121,Childcare and Related Personal Services,Nursery nurses and assistants,0.14,0.57,0.21,0.44,0.11,1.48,8.86,226000,x,9.7,8.9,14.89
6122,Childcare and Related Personal Services,Childminders and related occupations,0.16,0.6,0.25,0.49,0.29,1.79,10,101000,x,15.1,10.5,14.89
6123,Childcare and Related Personal Services,Playworkers,0.16,0.6,0.25,0.49,0.29,1.79,9.02,27000,84.7,11.8,9.7,14.89
6125,Childcare and Related Personal Services,Teaching assistants,0.14,0.57,0.21,0.44,0.11,1.48,9.92,309000,92.9,18.4,8.3,14.89
6126,Childcare and Related Personal Services,Educational support assistants,0.14,0.57,0.21,0.44,0.11,1.48,9.92,172000,87.4,19,12,14.89
6131,Animal Care and Control Services,Veterinary nurses,0.74,0.69,0.17,0.7,0.66,2.96,11,18000,x,1.4,x,14.89
6132,Animal Care and Control Services,Pest control officers,0.73,0.4,0.79,0.63,0.77,3.32,12.3,8000,x,46,x,14.89
6139,Animal Care and Control Services,Animal care services occupations n.e.c.,0.38,0.57,0.31,0.57,0.42,2.25,9,89000,86,16.3,1,14.89
6141,Caring Personal Services,Nursing auxiliaries and assistants,0.39,0.8,0.18,0.74,0.48,2.58,10.93,339000,80.4,18.3,18.1,14.89
6142,Caring Personal Services,Ambulance staff (excluding paramedics),0.83,1,0.84,0.72,0.9,4.28,12.05,24000,39.7,26.1,6.2,14.89
6143,Caring Personal Services,Dental nurses,0.76,0.77,0.01,0.5,0.73,2.78,10.14,50000,x,9,6.4,14.89
6144,Caring Personal Services,Houseparents and residential wardens,0.49,0.74,0.09,0.59,0.64,2.54,11.91,50000,73.1,25.6,11.4,14.89
6145,Caring Personal Services,Care workers and home carers,0.19,0.67,0.1,0.5,0.4,1.86,9.49,776000,83.6,20.3,19.9,14.89
6146,Caring Personal Services,Senior care workers,0.19,0.67,0.1,0.5,0.4,1.86,9.74,79000,84.6,22.1,14.2,14.89
6147,Caring Personal Services,Care escorts,0.49,0.74,0.09,0.59,0.64,2.54,9.45,12000,67.7,35.3,x,14.89
6148,Caring Personal Services,"Undertakers, mortuary and crematorium assistants",0.54,0.7,0.64,0.39,0.68,2.95,11.4,23000,39.5,22,x,14.89
6211,Leisure and Travel Services,Sports and leisure assistants,0.29,0.64,0.29,0.42,0.4,2.05,9.26,68000,42.1,3.1,6.5,14.89
6212,Leisure and Travel Services,Travel agents,0.1,0.46,0.19,0.18,0.26,1.19,9.93,32000,77.3,11.4,7.6,14.89
6214,Leisure and Travel Services,Air travel assistants,0.55,0.7,0.4,0.55,0.4,2.59,10.47,53000,67.3,11,9,14.89
6215,Leisure and Travel Services,Rail travel assistants,0.32,0.59,0.48,0.34,0.4,2.13,17.49,14000,22,26.8,9.8,14.89
6219,Leisure and Travel Services,Leisure and travel service occupations n.e.c.,0.14,0.55,0.2,0.33,0.28,1.5,10.41,28000,60,17.2,2.9,14.89
6221,Hairdressers and Related Services,Hairdressers and barbers,0.23,0.67,0.04,0.48,0.44,1.86,8.22,158000,86.5,8.3,7.6,14.89
6222,Hairdressers and Related Services,Beauticians and related occupations,0.22,0.61,0.1,0.41,0.4,1.74,9.11,100000,92.7,4.9,14.3,14.89
6231,Housekeeping and Related Services,Housekeepers and related occupations,0.43,0.35,0.36,0.71,0.61,2.45,9.02,49000,x,30.8,13.9,14.89
6232,Housekeeping and Related Services,Caretakers,0.54,0.25,0.29,0.69,0.55,2.32,10.31,69000,15.2,40.3,7.2,14.89
6240,Cleaning and Housekeeping Managers and Supervisors,Cleaning and housekeeping managers and supervisors,0.43,0.35,0.36,0.71,0.61,2.45,9.6,77000,73.9,18,11.5,14.89
7111,Sales Assistants and Retail Cashiers,Sales and retail assistants,0.27,0.56,0.37,0.47,0.5,2.17,8.74,1004000,65.6,13.3,13.1,15.91
7112,Sales Assistants and Retail Cashiers,Retail cashiers and check-out operators,0.19,0.64,0.06,0.43,0.43,1.75,8.87,165000,72.3,18.8,18.4,15.91
7113,Sales Assistants and Retail Cashiers,Telephone salespersons,0.04,0.28,0,0.02,0.13,0.46,10.24,32000,42.1,4.8,13.9,15.91
7114,Sales Assistants and Retail Cashiers,Pharmacy and other dispensing assistants,0.27,0.61,0.28,0.49,0.48,2.13,8.85,78000,83.4,16.8,9,15.91
7115,Sales Assistants and Retail Cashiers,Vehicle and parts salespersons and advisers,0.27,0.56,0.37,0.47,0.5,2.17,10.62,47000,8.8,10.2,6.9,15.91
7121,Sales Related Occupations,Collector salespersons and credit agents,0.08,0.48,0.26,0.16,0.14,1.11,10.25,15000,39.4,5.1,10.3,15.91
7122,Sales Related Occupations,"Debt, rent and other cash collectors",0.03,0.29,0.16,0.08,0.05,0.61,9.97,27000,31.7,14,13,15.91
7123,Sales Related Occupations,Roundspersons and van salespersons,0.08,0.48,0.26,0.16,0.14,1.11,8.97,30000,22.7,15.2,9.2,15.91
7124,Sales Related Occupations,Market and street traders and assistants,0.08,0.48,0.26,0.16,0.14,1.11,x,17000,48.5,16.3,22,15.91
7125,Sales Related Occupations,Merchandisers and window dressers,0.1,0.51,0.08,0.44,0.41,1.54,9.58,23000,77.2,17.1,16.3,15.91
7129,Sales Related Occupations,Sales related occupations n.e.c.,0.1,0.51,0.08,0.44,0.41,1.54,10.22,58000,44.7,14.8,11,15.91
7130,Sales Supervisors,Sales supervisors,0.22,0.5,0.18,0.47,0.29,1.66,10.1,164000,53.6,11.4,10,15.91
7211,Customer Service Occupations,Call and contact centre occupations,0.14,0.6,0.06,0.17,0.18,1.14,9.42,93000,58.6,10.5,13.4,15.91
7213,Customer Service Occupations,Telephonists,0.11,0.46,0.02,0.09,0.22,0.89,9.3,9000,65.8,22.2,11.9,15.91
7214,Customer Service Occupations,Communication operators,0.11,0.46,0.02,0.09,0.22,0.89,13.6,33000,61.9,13.3,5.9,15.91
7215,Customer Service Occupations,Market research interviewers,0.1,0.34,0.06,0.05,0.09,0.64,9.98,13000,64.5,26.4,10.9,15.91
7219,Customer Service Occupations,Customer service occupations n.e.c.,0.1,0.41,0.04,0.15,0.18,0.89,9.98,318000,66.9,12.8,14.4,15.91
7220,Customer Service Managers and Supervisors,Customer service managers and supervisors,0.08,0.32,0.05,0.18,0.29,0.92,13.93,186000,54.8,11,8.8,15.91
8111,Process Operatives,"Food, drink and tobacco process operatives",0.57,0.22,0.21,0.63,0.86,2.5,9.5,134000,37.9,15.7,14.5,5.44
8112,Process Operatives,Glass and ceramics process operatives,0.61,0.18,0.3,0.56,0.87,2.51,10.17,4000,16.3,17.4,x,5.44
8113,Process Operatives,Textile process operatives,0.38,0.15,0.06,0.64,0.73,1.95,10.45,9000,34.4,18.1,8.6,5.44
8114,Process Operatives,Chemical and related process operatives,0.63,0.2,0.28,0.59,0.84,2.54,13.6,37000,17.9,17.9,2.5,5.44
8115,Process Operatives,Rubber process operatives,0.63,0.19,0.25,0.62,0.86,2.55,11.07,6000,31.6,20.6,x,5.44
8116,Process Operatives,Plastics process operatives,0.61,0.16,0.18,0.59,0.86,2.4,10.61,21000,24.2,16.1,8.6,5.44
8117,Process Operatives,Metal making and treating process operatives,0.76,0.15,0.18,0.64,0.92,2.65,12.45,12000,7.4,25.5,6.4,5.44
8118,Process Operatives,Electroplaters,0.54,0.14,0.16,0.64,0.88,2.36,10.14,4000,x,39.6,x,5.44
8119,Process Operatives,Process operatives n.e.c.,0.75,0.22,0.64,0.64,0.93,3.18,10.82,10000,23,7,x,5.44
8121,Plant and Machine Operatives,Paper and wood machine operatives,0.65,0.05,0.18,0.66,0.77,2.3,10.38,25000,15.1,19.1,6.1,5.44
8122,Plant and Machine Operatives,Coal mine operatives,0.88,0.21,0.6,0.69,1,3.38,x,3000,x,32.7,x,5.44
8123,Plant and Machine Operatives,Quarry workers and related operatives,0.94,0.27,0.71,0.74,1,3.65,11.45,10000,x,12.8,x,5.44
8124,Plant and Machine Operatives,Energy plant operatives,0.66,0.24,0.45,0.48,0.77,2.61,16.63,7000,16.1,21.8,x,5.44
8125,Plant and Machine Operatives,Metal working machine operatives,0.59,0.13,0.17,0.55,0.85,2.29,10.6,56000,10.7,17.3,8.7,5.44
8126,Plant and Machine Operatives,Water and sewerage plant operatives,0.76,0.27,0.75,0.6,0.88,3.27,14.22,14000,10.6,16.3,x,5.44
8127,Plant and Machine Operatives,Printing machine assistants,0.61,0.08,0.12,0.56,0.85,2.22,10.33,10000,11.6,20.9,x,5.44
8129,Plant and Machine Operatives,Plant and machine operatives n.e.c.,0.56,0.21,0.37,0.61,0.93,2.68,11.23,23000,13.6,14.1,7.2,5.44
8131,Assemblers and Routine Operatives,Assemblers (electrical and electronic products),0.43,0.18,0.11,0.41,0.73,1.87,10.92,25000,34.8,21.2,5.7,5.44
8132,Assemblers and Routine Operatives,Assemblers (vehicles and metal goods),0.66,0.21,0.24,0.61,0.9,2.61,14,42000,16.2,13.4,8.9,5.44
8133,Assemblers and Routine Operatives,Routine inspectors and testers,0.43,0.22,0.18,0.5,0.63,1.96,12.23,78000,29.5,16.8,11.2,5.44
8134,Assemblers and Routine Operatives,"Weighers, graders and sorters",0.43,0.22,0.18,0.5,0.63,1.96,10.01,15000,37.8,19.4,6.2,5.44
8135,Assemblers and Routine Operatives,"Tyre, exhaust and windscreen fitters",0.68,0.3,0.7,0.72,0.88,3.27,9.57,15000,x,7.4,11.3,5.44
8137,Assemblers and Routine Operatives,Sewing machinists,0.2,0.14,0,0.36,0.61,1.31,8.87,32000,86.5,26.3,18.1,5.44
8139,Assemblers and Routine Operatives,Assemblers and routine operatives n.e.c.,0.34,0.14,0.06,0.69,0.84,2.07,10.3,46000,34.6,16.2,6.9,5.44
8141,Construction Operatives,"Scaffolders, stagers and riggers",0.71,0.44,0.71,0.93,0.85,3.65,15.65,27000,2.4,8.9,x,5.44
8142,Construction Operatives,Road construction operatives,0.85,0.56,0.86,0.77,0.9,3.94,12.86,20000,x,13.9,x,5.44
8143,Construction Operatives,Rail construction and maintenance operatives,0.85,0.56,0.86,0.77,0.9,3.94,14.09,12000,x,14.1,8,5.44
8149,Construction Operatives,Construction operatives n.e.c.,0.78,0.28,0.7,0.8,0.87,3.43,11.29,109000,4,25.3,4.1,5.44
8211,Road Transport Drivers,Large goods vehicle drivers,0.43,0.43,0.66,0.42,0.66,2.59,12,304000,0.8,25.4,3.9,5.44
8212,Road Transport Drivers,Van drivers,0.35,0.57,0.66,0.5,0.6,2.69,9.73,273000,7.1,23.1,12.5,5.44
8213,Road Transport Drivers,Bus and coach drivers,0.44,0.63,0.61,0.35,0.59,2.62,11.88,112000,9.4,28.2,19.7,5.44
8214,Road Transport Drivers,Taxi and cab drivers and chauffeurs,0.35,0.57,0.66,0.5,0.6,2.69,8.72,213000,3,23.6,43.1,5.44
8215,Road Transport Drivers,Driving instructors,0.06,0.39,0.17,0.17,0.25,1.04,12.93,30000,32.3,32.6,8.2,5.44
8221,Mobile Machine Drivers and Operatives,Crane drivers,0.58,0.41,0.53,0.51,0.69,2.73,15.19,14000,x,18.3,x,5.44
8222,Mobile Machine Drivers and Operatives,Fork-lift truck drivers,0.54,0.39,0.59,0.52,0.68,2.72,10.93,92000,2.2,20.9,6.1,5.44
8223,Mobile Machine Drivers and Operatives,Agricultural machinery drivers,0.48,0.21,0.85,0.43,0.91,2.88,9.93,4000,x,8.7,x,5.44
8229,Mobile Machine Drivers and Operatives,Mobile machine drivers and operatives n.e.c.,0.75,0.26,0.83,0.53,0.96,3.33,12.74,45000,x,21.5,4,5.44
8231,Other Drivers and Transport Operatives,Train and tram drivers,0.73,0.35,0.64,0.47,0.81,3,30.13,31000,10.5,18.4,7.7,5.44
8232,Other Drivers and Transport Operatives,Marine and waterways transport operatives,0.69,0.46,0.73,0.68,0.93,3.48,12.98,6000,x,25.4,x,5.44
8233,Other Drivers and Transport Operatives,Air transport operatives,0.58,0.34,0.71,0.57,0.74,2.94,11.85,16000,11.6,17,19.4,5.44
8234,Other Drivers and Transport Operatives,Rail transport operatives,0.68,0.33,0.66,0.61,0.61,2.89,17.09,14000,4.7,20.7,x,5.44
8239,Other Drivers and Transport Operatives,Other drivers and transport operatives n.e.c.,0.58,0.34,0.71,0.57,0.74,2.94,12.68,23000,12.3,17.9,10.6,5.44
9111,Elementary Agricultural Occupations,Farm workers,0.39,0.18,0.75,0.56,0.53,2.41,9.44,59000,29.2,14.9,x,0.00
9112,Elementary Agricultural Occupations,Forestry workers,0.6,0.22,0.78,0.59,0.81,2.99,11.66,6000,16.7,24.2,x,0.00
9119,Elementary Agricultural Occupations,Fishing and other elementary agriculture occupations n.e.c.,0.46,0.2,0.73,0.59,0.58,2.55,9.17,23000,23.4,19.9,x,0.00
9120,Elementary Construction Occupations,Elementary construction occupations,0.76,0.33,0.66,0.94,0.86,3.54,10.25,161000,2.2,12.4,5.3,0.00
9132,Elementary Process Plant Occupations,Industrial cleaning process occupations,0.49,0.22,0.52,0.64,0.82,2.68,8.59,28000,24.6,17,11.2,0.00
9134,Elementary Process Plant Occupations,"Packers, bottlers, canners and fillers",0.24,0.44,0.16,0.75,0.65,2.24,9.15,129000,48.6,13.1,20.4,0.00
9139,Elementary Process Plant Occupations,Elementary process plant occupations n.e.c.,0.49,0.22,0.52,0.64,0.82,2.68,10,95000,17.5,17.9,7.3,0.00
9211,Elementary Administration Occupations,"Postal workers, mail sorters, messengers and couriers",0.32,0.35,0.35,0.54,0.5,2.05,12.45,167000,20.4,19.8,15.1,0.00
9219,Elementary Administration Occupations,Elementary administration occupations n.e.c.,0.37,0.53,0.72,0.5,0.58,2.7,8.76,36000,50.2,16.3,11.5,0.00
9231,Elementary Cleaning Occupations,Window cleaners,0.54,0.25,0.29,0.69,0.55,2.32,9.64,26000,4.1,15.9,3.4,0.00
9233,Elementary Cleaning Occupations,Cleaners and domestics,0.52,0.27,0.31,0.78,0.57,2.44,8.67,572000,82.6,24.9,11.1,0.00
9234,Elementary Cleaning Occupations,"Launderers, dry cleaners and pressers",0.35,0.18,0.07,0.5,0.58,1.68,8.28,25000,63,24.9,16.4,0.00
9235,Elementary Cleaning Occupations,Refuse and salvage occupations,0.58,0.41,0.65,0.47,0.76,2.87,9.98,39000,4.1,23.9,3.2,0.00
9236,Elementary Cleaning Occupations,Vehicle valeters and cleaners,0.66,0.16,0.59,0.7,0.57,2.68,8.52,27000,12.5,9.8,6.1,0.00
9239,Elementary Cleaning Occupations,Elementary cleaning occupations n.e.c.,0.52,0.27,0.31,0.78,0.57,2.44,9.25,8000,33.1,35,15.1,0.00
9241,Elementary Security Occupations,Security guards and related occupations,0.41,0.58,0.29,0.44,0.47,2.19,9.88,185000,16.5,23.6,26.2,0.00
9242,Elementary Security Occupations,Parking and civil enforcement occupations,0.28,0.51,0.25,0.5,0.45,1.99,10.17,16000,23.3,15.2,28.3,0.00
9244,Elementary Security Occupations,School midday and crossing patrol occupations,0.28,0.51,0.25,0.5,0.45,1.99,9.23,94000,x,20.7,13.3,0.00
9249,Elementary Security Occupations,Elementary security occupations n.e.c.,0.28,0.51,0.25,0.5,0.45,1.99,10,24000,30.3,19,16,0.00
9251,Elementary Sales Occupations,Shelf fillers,0.32,0.39,0.21,0.7,0.47,2.08,8.87,81000,45.8,17.7,7.8,0.00
9259,Elementary Sales Occupations,Elementary sales occupations n.e.c.,0.08,0.48,0.26,0.16,0.14,1.11,9.12,24000,51.5,20.5,7.5,0.00
9260,Elementary Storage Occupations,Elementary storage occupations,0.58,0.34,0.71,0.57,0.74,2.94,9.77,449000,20.1,15.7,10.6,0.00
9271,Other Elementary Services Occupations,Hospital porters,0.52,0.27,0.31,0.78,0.57,2.44,10.47,18000,1.5,43,16.2,0.00
9272,Other Elementary Services Occupations,Kitchen and catering assistants,0.24,0.51,0.12,0.65,0.56,2.08,8.35,513000,64.6,10.9,14.4,0.00
9273,Other Elementary Services Occupations,Waiters and waitresses,0.26,0.55,0.09,0.65,0.44,1.99,8.21,264000,73.8,3.9,14.4,0.00
9274,Other Elementary Services Occupations,Bar staff,0.18,0.68,0.03,0.57,0.4,1.86,8.22,203000,48.9,4,4.7,0.00
9275,Other Elementary Services Occupations,Leisure and theme park attendants,0.28,0.51,0.25,0.5,0.45,1.99,8.52,32000,49.6,10.7,12.6,0.00
9279,Other Elementary Services Occupations,Other elementary services occupations n.e.c.,0.3,0.52,0.38,0.5,0.48,2.19,8.59,26000,42.5,15.7,4.5,0.00
,,,,,,,,,,,,,,
1. Some occupations are excluded due to no homeworking measures being available ,,,,,,,,,,,,,,
"2. Please note the ability to homework score was calculated by O*NET prior to the coronavirus (COVID-19) outbreak, therefore will not reflect any changes to working practices implemented since the outbreak.",,,,,,,,,,,,,,
3. This measure of pay comes from the 2019 Annual Survey of Hours and Earnings (ASHE). It is hourly earnings excluding overtime. It's calculated as gross pay /basic paid hours. The pay period in question was not affected by absence. It includes people aged 16+ both full-time and part-time,,,,,,,,,,,,,,
4. Characteristics are from the Annual Population Survey (APS). Data are for the period April 2019 to March 2020,,,,,,,,,,,,,,
5. The BAME group includes: Mixed/Multiple ethnic groups; Indian; Pakistani; Bangladeshi; Chinese; any other Asian background; Black/African/Caribbean/Black British,,,,,,,,,,,,,,
"6. For the percentage of women in each occupation, figures have been grouped together for percentages greater than 95% for disclosure reasons",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,
,,Data are based on low sample numbers and should be treated with caution.,,,,,,,,,,,,
x,,The sample size is too small to produce a reliable estimate.,,,,,,,,,,,,
,,Estimates are consider acceptable,,,,,,,,,,,,
,,Estimates are considered reasonably precise,,,,,,,,,,,,
